종목코드	기업명	업종
127120	디엔에이링크	자연과학 및 공학 연구개발업
92070	디엔에프	화학제품 제조업
101000	디엠씨	특수 목적용 기계 제조업
134580	디엠티	통신 및 방송 장비 제조업
39840	디오	의료용 기기 제조업
13570	디와이	금융업
210540	디와이파워	특수 목적용 기계 제조업
79810	디이엔티	특수 목적용 기계 제조업
227100	디자인	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
113810	디젠스	자동차 신품 부품 제조업
43360	디지아이	컴퓨터 및 주변장치 제조업
197140	디지캡	소프트웨어 개발 및 공급업
106520	디지탈옵틱	사진장비 및 광학기기 제조업
68930	디지털대성	일반 교습 학원
33130	디지틀조선	"자료처리, 호스팅, 포털 및 인터넷 정보매개 서비스업"
33310	디케이디앤아이	금속 가공제품 제조업
105740	디케이락	일반 목적용 기계 제조업
263020	디케이앤디	플라스틱제품 제조업
290550	디케이티	전자부품 제조업
7340	디티알오토모티브	일차전지 및 축전지 제조업
187220	디티앤씨	과학기술 서비스업
26890	디피씨	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
163430	디피코	"건축기술, 엔지니어링 및 관련 기술 서비스업"
131180	딜리	컴퓨터 및 주변장치 제조업
42510	라온시큐어	소프트웨어 개발 및 공급업
232680	라온테크	특수 목적용 기계 제조업
50120	라이브플렉스	생활용품 도매업
171120	라이온켐텍	화학제품 제조업
69540	라이트론	통신 및 방송 장비 제조업
285770	라이프사이언스테크놀로지	소프트웨어 개발 및 공급업
115390	락앤락	플라스틱제품 제조업
200350	래몽래인	"영화, 비디오물, 방송프로그램 제작 및 배급업"
171010	램테크놀러지	기초 화학물질 제조업
84650	랩지노믹스	자연과학 및 공학 연구개발업
217500	러셀	특수 목적용 기계 제조업
92590	럭스피아	반도체 제조업
141080	레고켐바이오	자연과학 및 공학 연구개발업
60300	레드로버	"영화, 비디오물, 방송프로그램 제작 및 배급업"
38390	레드캡투어	여행사 및 여행보조 서비스업
228850	레이언스	의료용 기기 제조업
238120	로고스바이오	사진장비 및 광학기기 제조업
215100	로보로보	전기장비 제조업
90360	로보스타	특수 목적용 기계 제조업
238500	로보쓰리	"그외 전문, 과학 및 기술 서비스업"
108490	로보티즈	특수 목적용 기계 제조업
900260	로스웰	금융업
67730	로지시스	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
71280	로체시스템즈	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
32350	롯데관광개발	여행사 및 여행보조 서비스업
400	롯데손해보험	보험업
23530	롯데쇼핑	종합 소매업
4000	롯데정밀화학	기초 화학물질 제조업
286940	롯데정보통신	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
280360	롯데제과	식품 제조업
4990	롯데지주	금융업
5300	롯데칠성음료	비알코올음료 및 얼음 제조업
11170	롯데케미칼	기초 화학물질 제조업
2270	롯데푸드	낙농제품 및 식용빙과류 제조업
71840	롯데하이마트	가전제품 및 정보통신장비 소매업
38060	루멘스	반도체 제조업
82800	루미마이크로	반도체 제조업
162120	루켄테크놀러지스	전기장비 제조업
85370	루트로닉	의료용 기기 제조업
60240	룽투코리아	소프트웨어 개발 및 공급업
58470	리노공업	전자부품 제조업
39980	리노스	"섬유, 의복, 신발 및 가죽제품 소매업"
16100	리더스코스메틱	화학제품 제조업
197210	리드	특수 목적용 기계 제조업
12700	리드코프	전문 도매업
302550	리메드	의료용 기기 제조업
131100	리켐	기초 화학물질 제조업
277070	린드먼아시아	신탁업 및 집합투자업
42500	링네트	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
